,date,time,open,high,low,close,tickvol,vol,spread,label,exit_index
312,10/01/2020,6:00:00 PM,1.11128,1.11181,1.1111,1.11155,1108,0,1,1,360.0
313,10/01/2020,6:30:00 PM,1.11154,1.11206,1.11135,1.11179,785,0,1,1,446.0
314,10/01/2020,7:00:00 PM,1.11179,1.11291,1.11179,1.11258,958,0,1,1,452.0
315,10/01/2020,7:30:00 PM,1.11258,1.11264,1.11204,1.11223,617,0,1,1,446.0
316,10/01/2020,8:00:00 PM,1.11223,1.11231,1.11193,1.11205,384,0,2,1,446.0
317,10/01/2020,8:30:00 PM,1.11205,1.11214,1.11184,1.11185,290,0,1,1,446.0
318,10/01/2020,9:00:00 PM,1.11185,1.1121,1.11172,1.11206,391,0,2,1,446.0
319,10/01/2020,9:30:00 PM,1.11206,1.11231,1.11206,1.1122,344,0,1,1,446.0
320,10/01/2020,10:00:00 PM,1.1122,1.1122,1.11193,1.11199,351,0,1,1,446.0
321,10/01/2020,10:30:00 PM,1.11199,1.11219,1.11197,1.1121,377,0,2,1,446.0
322,10/01/2020,11:00:00 PM,1.11211,1.11224,1.11199,1.112,245,0,2,1,446.0
323,10/01/2020,11:30:00 PM,1.112,1.11221,1.112,1.11212,276,0,3,1,452.0
324,13/01/2020,12:00:00 AM,1.11162,1.11209,1.11156,1.11192,191,0,3,1,446.0
325,13/01/2020,12:30:00 AM,1.11192,1.11196,1.11128,1.11167,284,0,1,1,446.0
326,13/01/2020,1:00:00 AM,1.11164,1.1118,1.11143,1.11161,256,0,1,1,360.0
327,13/01/2020,1:30:00 AM,1.11161,1.11168,1.11149,1.11161,224,0,1,1,360.0
328,13/01/2020,2:00:00 AM,1.11161,1.11185,1.11159,1.11162,251,0,2,1,446.0
329,13/01/2020,2:30:00 AM,1.11162,1.11187,1.11159,1.11187,207,0,2,1,446.0
330,13/01/2020,3:00:00 AM,1.11187,1.11199,1.11171,1.11198,260,0,2,1,446.0
331,13/01/2020,3:30:00 AM,1.11198,1.11213,1.11186,1.11212,238,0,2,1,446.0
332,13/01/2020,4:00:00 AM,1.11212,1.11215,1.112,1.11207,177,0,1,1,446.0
333,13/01/2020,4:30:00 AM,1.11207,1.11258,1.11206,1.11256,271,0,1,1,452.0
334,13/01/2020,5:00:00 AM,1.11256,1.11284,1.11251,1.11263,364,0,2,1,452.0
335,13/01/2020,5:30:00 AM,1.11263,1.11298,1.11262,1.11291,258,0,2,1,452.0
336,13/01/2020,6:00:00 AM,1.11291,1.11304,1.11273,1.11292,230,0,2,1,452.0
337,13/01/2020,6:30:00 AM,1.11292,1.11301,1.11271,1.11271,169,0,2,1,452.0
338,13/01/2020,7:00:00 AM,1.11271,1.113,1.1127,1.11287,237,0,2,1,452.0
339,13/01/2020,7:30:00 AM,1.11287,1.11317,1.11286,1.11297,259,0,1,1,452.0
